family,N,graph_idx,rounds_cold,rounds_warm
sparse_er,140,16,31,27
sparse_er,140,17,29,25
sparse_er,140,18,29,27
sparse_er,140,19,27,27
sparse_er,140,20,29,27
sparse_er,140,21,29,28
sparse_er,140,22,29,27
sparse_er,140,23,30,27
sparse_er,140,24,28,26
sparse_er,140,25,28,25
sparse_er,140,26,29,26
sparse_er,140,27,29,25
sparse_er,140,28,31,26
sparse_er,140,29,28,26
sparse_er,160,0,29,28
sparse_er,160,1,30,26
sparse_er,160,2,33,28
sparse_er,160,3,28,27
sparse_er,160,4,30,27
sparse_er,160,5,27,27
sparse_er,160,6,27,26
sparse_er,160,7,28,26
sparse_er,160,8,30,27
sparse_er,160,9,29,26
sparse_er,160,10,29,26
sparse_er,160,11,26,26
sparse_er,160,12,31,29
sparse_er,160,13,28,27
sparse_er,160,14,31,27
sparse_er,160,15,28,26
sparse_er,160,16,27,25
sparse_er,160,17,29,27
sparse_er,160,18,33,28
sparse_er,160,19,28,27
sparse_er,160,20,29,26
sparse_er,160,21,30,27
sparse_er,160,22,28,25
sparse_er,160,23,29,26
sparse_er,160,24,31,27
sparse_er,160,25,30,26
sparse_er,160,26,26,27
sparse_er,160,27,29,28
sparse_er,160,28,29,27
sparse_er,160,29,31,28
sparse_er,180,0,28,28
sparse_er,180,1,29,25
sparse_er,180,2,28,28
sparse_er,180,3,32,28
sparse_er,180,4,28,26
sparse_er,180,5,30,29
sparse_er,180,6,32,26
sparse_er,180,7,29,26
sparse_er,180,8,32,28
sparse_er,180,9,33,30
sparse_er,180,10,28,26
sparse_er,180,11,30,28
sparse_er,180,12,30,27
sparse_er,180,13,27,26
sparse_er,180,14,28,26
sparse_er,180,15,30,26
sparse_er,180,16,29,28
sparse_er,180,17,29,26
sparse_er,180,18,29,26
sparse_er,180,19,29,28
sparse_er,180,20,31,27
sparse_er,180,21,30,28
sparse_er,180,22,30,27
sparse_er,180,23,31,28
sparse_er,180,24,29,25
sparse_er,180,25,30,28
sparse_er,180,26,30,25
sparse_er,180,27,29,27
sparse_er,180,28,29,26
sparse_er,180,29,30,30
sparse_er,200,0,29,28
sparse_er,200,1,28,26
sparse_er,200,2,29,26
sparse_er,200,3,30,28
sparse_er,200,4,30,28
sparse_er,200,5,29,26
sparse_er,200,6,30,26
sparse_er,200,7,29,27
sparse_er,200,8,26,25
sparse_er,200,9,30,25
sparse_er,200,10,28,26
sparse_er,200,11,33,29
sparse_er,200,12,31,26
sparse_er,200,13,29,28
sparse_er,200,14,30,25
sparse_er,200,15,29,24
sparse_er,200,16,29,25
sparse_er,200,17,32,30
sparse_er,200,18,32,27
sparse_er,200,19,30,27
sparse_er,200,20,29,27
sparse_er,200,21,29,27
sparse_er,200,22,30,26
sparse_er,200,23,30,27
sparse_er,200,24,30,27
sparse_er,200,25,32,27
sparse_er,200,26,29,27
sparse_er,200,27,32,29
sparse_er,200,28,29,26
sparse_er,200,29,27,24
