algo,t,mean_group,std_group,mean_hub,std_hub,cum_pulls
Central-UCB,159,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1581.0
Central-UCB,160,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1600.0
Central-UCB,161,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1601.0
Central-UCB,162,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1620.0
Central-UCB,163,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1621.0
Central-UCB,164,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1640.0
Central-UCB,165,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1641.0
Central-UCB,166,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1660.0
Central-UCB,167,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1661.0
Central-UCB,168,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1680.0
Central-UCB,169,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1681.0
Central-UCB,170,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1700.0
Central-UCB,171,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1701.0
Central-UCB,172,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1720.0
Central-UCB,173,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1721.0
Central-UCB,174,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1740.0
Central-UCB,175,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1741.0
Central-UCB,176,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1760.0
Central-UCB,177,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1761.0
Central-UCB,178,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1780.0
Central-UCB,179,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1781.0
Central-UCB,180,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1800.0
Central-UCB,181,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1801.0
Central-UCB,182,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1820.0
Central-UCB,183,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1821.0
Central-UCB,184,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1840.0
Central-UCB,185,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1841.0
Central-UCB,186,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1860.0
Central-UCB,187,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1861.0
Central-UCB,188,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1880.0
Central-UCB,189,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1881.0
Central-UCB,190,58.25,6.655198469367136,3.9166666666666665,2.144113388378101,1900.0
Central-UCB,191,58.333333333333336,6.548960901462833,4.0,2.041241452319315,1901.0
Central-UCB,192,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1920.0
Central-UCB,193,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1921.0
Central-UCB,194,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1940.0
Central-UCB,195,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1941.0
Central-UCB,196,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1960.0
Central-UCB,197,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1961.0
Central-UCB,198,59.916666666666664,4.638306683358582,4.0,2.041241452319315,1980.0
Central-UCB,199,60.083333333333336,4.857697213929891,4.166666666666667,2.0548046676563256,1981.0
Central-UCB,200,60.083333333333336,4.857697213929891,4.166666666666667,2.0548046676563256,2000.0
Coop-UCB2,1,0.0,0.0,0.0,0.0,20.0
Coop-UCB2,2,4.083333333333333,0.9646530752325189,0.08333333333333333,0.11785113019775792,40.0
Coop-UCB2,3,6.75,0.5400617248673217,0.08333333333333333,0.11785113019775792,60.0
Coop-UCB2,4,8.583333333333334,0.8249579113843055,0.08333333333333333,0.11785113019775792,80.0
Coop-UCB2,5,12.083333333333334,0.8498365855987975,0.08333333333333333,0.11785113019775792,100.0
Coop-UCB2,6,14.5,0.6123724356957945,0.08333333333333333,0.11785113019775792,120.0
Coop-UCB2,7,18.5,1.4288690166235205,0.08333333333333333,0.11785113019775792,140.0
Coop-UCB2,8,22.666666666666668,1.8856180831641267,0.4166666666666667,0.31180478223116176,160.0
Coop-UCB2,9,25.333333333333332,2.6640612271909636,0.5,0.3535533905932738,180.0
Coop-UCB2,10,29.25,5.338539126015656,0.9166666666666666,0.7168604389202189,200.0
Coop-UCB2,11,33.333333333333336,9.34597358343272,1.1666666666666667,1.0274023338281628,220.0
Coop-UCB2,12,37.0,9.600347215943113,1.3333333333333333,0.9204467514322718,240.0
Coop-UCB2,13,40.833333333333336,11.151108564722263,1.4166666666666667,0.9204467514322718,260.0
Coop-UCB2,14,44.75,10.643855817638018,1.5,0.9354143466934853,280.0
Coop-UCB2,15,48.0,10.994316713648011,1.5,0.9354143466934853,300.0
Coop-UCB2,16,50.25,10.977249200050075,1.5,0.9354143466934853,320.0
Coop-UCB2,17,52.333333333333336,10.939860856316022,1.5,0.9354143466934853,340.0
Coop-UCB2,18,54.75,11.496376240653689,1.5833333333333333,0.8249579113843055,360.0
Coop-UCB2,19,56.0,10.98483803552272,1.6666666666666667,0.7168604389202189,380.0
Coop-UCB2,20,57.333333333333336,10.267938232944116,1.6666666666666667,0.7168604389202189,400.0
Coop-UCB2,21,58.5,10.179636535751166,1.6666666666666667,0.7168604389202189,420.0
Coop-UCB2,22,59.75,9.246621004453464,1.6666666666666667,0.7168604389202189,440.0
Coop-UCB2,23,60.833333333333336,9.319185705962846,1.6666666666666667,0.7168604389202189,460.0
Coop-UCB2,24,62.166666666666664,8.64179122378894,1.6666666666666667,0.7168604389202189,480.0
Coop-UCB2,25,64.83333333333333,8.181109677516588,2.0,0.8897565210026093,500.0
Coop-UCB2,26,66.5,8.339164626427918,2.0,0.8897565210026093,520.0
Coop-UCB2,27,67.5,8.30913152300929,2.0,0.8897565210026093,540.0
Coop-UCB2,28,68.41666666666667,8.07860686559811,2.0,0.8897565210026093,560.0
Coop-UCB2,29,69.16666666666667,8.646611410771788,2.0,0.8897565210026093,580.0
Coop-UCB2,30,69.91666666666667,8.488554385497896,2.0,0.8897565210026093,600.0
Coop-UCB2,31,70.83333333333333,7.752239819705156,2.0,0.8897565210026093,620.0
Coop-UCB2,32,72.75,7.97130269571208,2.0,0.8897565210026093,640.0
Coop-UCB2,33,74.5,8.339164626427918,2.0,0.8897565210026093,660.0
Coop-UCB2,34,74.75,8.195527235429498,2.0,0.8897565210026093,680.0
Coop-UCB2,35,77.5,9.112720047640368,2.0,0.8897565210026093,700.0
Coop-UCB2,36,79.0,10.41633332799983,2.0,0.8897565210026093,720.0
Coop-UCB2,37,80.33333333333333,11.804542440188955,2.0,0.8897565210026093,740.0
Coop-UCB2,38,80.58333333333333,11.691045956438437,2.0,0.8897565210026093,760.0
Coop-UCB2,39,81.25,11.77037240985461,2.0,0.8897565210026093,780.0
Coop-UCB2,40,82.08333333333333,11.61237366873036,2.0,0.8897565210026093,800.0
Coop-UCB2,41,83.08333333333333,10.772908407461541,2.0,0.8897565210026093,820.0
Coop-UCB2,42,84.33333333333333,9.845331663055113,2.0,0.8897565210026093,840.0
Coop-UCB2,43,85.08333333333333,9.319185705962845,2.0,0.8897565210026093,860.0
Coop-UCB2,44,85.66666666666667,9.447956863200048,2.0,0.8897565210026093,880.0
Coop-UCB2,45,86.33333333333333,9.040034414880411,2.0,0.8897565210026093,900.0
Coop-UCB2,46,87.16666666666667,8.566731517264264,2.0,0.8897565210026093,920.0
Coop-UCB2,47,87.91666666666667,8.181109677516588,2.0,0.8897565210026093,940.0
Coop-UCB2,48,89.25,7.960841664045329,2.3333333333333335,0.42491829279939874,960.0
Coop-UCB2,49,91.41666666666667,8.530175196846129,2.6666666666666665,0.11785113019775792,980.0
Coop-UCB2,50,92.0,8.860022573334675,2.6666666666666665,0.11785113019775792,1000.0
Coop-UCB2,51,92.58333333333333,9.251876686501081,2.6666666666666665,0.11785113019775792,1020.0
Coop-UCB2,52,92.75,9.194654243997796,2.6666666666666665,0.11785113019775792,1040.0
Coop-UCB2,53,93.25,8.848257832289171,2.6666666666666665,0.11785113019775792,1060.0
Coop-UCB2,54,93.83333333333333,8.206535336073452,2.6666666666666665,0.11785113019775792,1080.0
Coop-UCB2,55,94.08333333333333,7.853696935555609,2.6666666666666665,0.11785113019775792,1100.0
Coop-UCB2,56,94.41666666666667,8.088915598246501,2.6666666666666665,0.11785113019775792,1120.0
Coop-UCB2,57,94.75,8.32416161944653,2.6666666666666665,0.11785113019775792,1140.0
Coop-UCB2,58,95.25,7.97130269571208,2.6666666666666665,0.11785113019775792,1160.0
Coop-UCB2,59,96.08333333333333,7.165697608901887,2.6666666666666665,0.11785113019775792,1180.0
Coop-UCB2,60,96.66666666666667,7.3833521444455625,2.6666666666666665,0.11785113019775792,1200.0
Coop-UCB2,61,97.75,6.377042156569663,2.6666666666666665,0.11785113019775792,1220.0
Coop-UCB2,62,99.25,5.12754002097172,2.6666666666666665,0.11785113019775792,1240.0
Coop-UCB2,63,101.25,3.360307525609325,2.6666666666666665,0.11785113019775792,1260.0
Coop-UCB2,64,103.33333333333333,1.1242281302693369,2.8333333333333335,0.31180478223116176,1280.0
Coop-UCB2,65,105.58333333333333,1.0274023338281628,3.0,0.5400617248673217,1300.0
Coop-UCB2,66,108.0,2.3003622903070435,3.0833333333333335,0.4714045207910317,1320.0
Coop-UCB2,67,109.66666666666667,3.356171760933711,3.0833333333333335,0.4714045207910317,1340.0
Coop-UCB2,68,111.0,3.9738730058554546,3.0833333333333335,0.4714045207910317,1360.0
Coop-UCB2,69,112.5,5.232112384114087,3.0833333333333335,0.4714045207910317,1380.0
Coop-UCB2,70,113.0,5.318991132410983,3.0833333333333335,0.4714045207910317,1400.0
Coop-UCB2,71,113.41666666666667,5.516389721145122,3.0833333333333335,0.4714045207910317,1420.0
Coop-UCB2,72,114.25,6.4323401651343035,3.0833333333333335,0.4714045207910317,1440.0
Coop-UCB2,73,114.58333333333333,6.740219251297065,3.0833333333333335,0.4714045207910317,1460.0
Coop-UCB2,74,114.91666666666667,6.740219251297065,3.0833333333333335,0.4714045207910317,1480.0
Coop-UCB2,75,115.25,6.773108592072033,3.0833333333333335,0.4714045207910317,1500.0
Coop-UCB2,76,115.91666666666667,6.935216090521061,3.0833333333333335,0.4714045207910317,1520.0
Coop-UCB2,77,117.0,7.020802423275182,3.1666666666666665,0.5892556509887895,1540.0
Coop-UCB2,78,117.75,6.604922406811453,3.1666666666666665,0.5892556509887895,1560.0
Coop-UCB2,79,119.5,4.800173607971557,3.1666666666666665,0.5892556509887895,1580.0
Coop-UCB2,80,121.41666666666667,2.6007477557212058,3.4166666666666665,0.5137011669140814,1600.0
Coop-UCB2,81,122.41666666666667,2.1245914639969934,3.4166666666666665,0.5137011669140814,1620.0
Coop-UCB2,82,123.33333333333333,1.4337208778404378,3.5833333333333335,0.5892556509887895,1640.0
Coop-UCB2,83,124.5,1.4142135623730951,3.5833333333333335,0.5892556509887895,1660.0
Coop-UCB2,84,125.83333333333333,1.8408935028645437,3.5833333333333335,0.5892556509887895,1680.0
Coop-UCB2,85,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1700.0
Coop-UCB2,86,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1720.0
Coop-UCB2,87,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1740.0
Coop-UCB2,88,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1760.0
Coop-UCB2,89,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1780.0
Coop-UCB2,90,126.33333333333333,2.2484562605386733,3.5833333333333335,0.5892556509887895,1800.0
Coop-UCB2,91,126.41666666666667,2.257702864024011,3.5833333333333335,0.5892556509887895,1820.0
Coop-UCB2,92,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1840.0
Coop-UCB2,93,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1860.0
Coop-UCB2,94,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1880.0
Coop-UCB2,95,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1900.0
Coop-UCB2,96,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1920.0
Coop-UCB2,97,126.5,2.273030282830976,3.5833333333333335,0.5892556509887895,1940.0
Coop-UCB2,98,126.58333333333333,2.294316649656034,3.5833333333333335,0.5892556509887895,1960.0
Coop-UCB2,99,126.58333333333333,2.294316649656034,3.5833333333333335,0.5892556509887895,1980.0
Coop-UCB2,100,126.58333333333333,2.294316649656034,3.5833333333333335,0.5892556509887895,2000.0
Coop-UCB2,101,126.58333333333333,2.294316649656034,3.5833333333333335,0.5892556509887895,2020.0
Coop-UCB2,102,126.66666666666667,2.321398046197353,3.5833333333333335,0.5892556509887895,2040.0
Coop-UCB2,103,126.75,2.3540744819709225,3.5833333333333335,0.5892556509887895,2060.0
Coop-UCB2,104,126.83333333333333,2.3921166824012206,3.5833333333333335,0.5892556509887895,2080.0
Coop-UCB2,105,126.83333333333333,2.3921166824012206,3.5833333333333335,0.5892556509887895,2100.0
Coop-UCB2,106,126.83333333333333,2.3921166824012206,3.5833333333333335,0.5892556509887895,2120.0
Coop-UCB2,107,126.83333333333333,2.3921166824012206,3.5833333333333335,0.5892556509887895,2140.0
Coop-UCB2,108,126.83333333333333,2.3921166824012206,3.5833333333333335,0.5892556509887895,2160.0
Coop-UCB2,109,126.91666666666667,2.435273199367076,3.5833333333333335,0.5892556509887895,2180.0
Coop-UCB2,110,126.91666666666667,2.435273199367076,3.5833333333333335,0.5892556509887895,2200.0
Coop-UCB2,111,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2220.0
Coop-UCB2,112,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2240.0
Coop-UCB2,113,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2260.0
Coop-UCB2,114,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2280.0
Coop-UCB2,115,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2300.0
Coop-UCB2,116,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2320.0
Coop-UCB2,117,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2340.0
Coop-UCB2,118,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2360.0
Coop-UCB2,119,127.0,2.48327740429189,3.5833333333333335,0.5892556509887895,2380.0
Coop-UCB2,120,127.16666666666667,2.592724864350674,3.5833333333333335,0.5892556509887895,2400.0
Coop-UCB2,121,127.25,2.6536138880151094,3.5833333333333335,0.5892556509887895,2420.0
Coop-UCB2,122,127.33333333333333,2.7182510717166815,3.5833333333333335,0.5892556509887895,2440.0
Coop-UCB2,123,127.41666666666667,2.7863755828834145,3.5833333333333335,0.5892556509887895,2460.0
Coop-UCB2,124,127.5,2.857738033247041,3.5833333333333335,0.5892556509887895,2480.0
Coop-UCB2,125,127.5,2.857738033247041,3.5833333333333335,0.5892556509887895,2500.0
Coop-UCB2,126,127.5,2.857738033247041,3.5833333333333335,0.5892556509887895,2520.0
Coop-UCB2,127,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2540.0
Coop-UCB2,128,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2560.0
Coop-UCB2,129,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2580.0
Coop-UCB2,130,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2600.0
Coop-UCB2,131,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2620.0
Coop-UCB2,132,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2640.0
Coop-UCB2,133,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2660.0
Coop-UCB2,134,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2680.0
Coop-UCB2,135,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2700.0
Coop-UCB2,136,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2720.0
Coop-UCB2,137,127.58333333333333,2.932102014293197,3.5833333333333335,0.5892556509887895,2740.0
Coop-UCB2,138,127.66666666666667,3.009245014211298,3.5833333333333335,0.5892556509887895,2760.0
Coop-UCB2,139,127.75,3.088958832141773,3.5833333333333335,0.5892556509887895,2780.0
Coop-UCB2,140,127.91666666666667,3.2553374974374347,3.5833333333333335,0.5892556509887895,2800.0
Coop-UCB2,141,128.08333333333334,3.4298526045427793,3.5833333333333335,0.5892556509887895,2820.0
Coop-UCB2,142,128.16666666666666,3.519785346990479,3.5833333333333335,0.5892556509887895,2840.0
