t,group_regret
634,171.11111111111111
635,171.11111111111111
636,171.11111111111111
637,171.11111111111111
638,171.11111111111111
639,171.11111111111111
640,171.11111111111111
641,171.11111111111111
642,171.11111111111111
643,171.11111111111111
644,171.11111111111111
645,171.11111111111111
646,171.11111111111111
647,171.11111111111111
648,171.11111111111111
649,171.11111111111111
650,171.11111111111111
651,171.11111111111111
652,171.11111111111111
653,171.11111111111111
654,171.11111111111111
655,171.11111111111111
656,171.11111111111111
657,171.11111111111111
658,171.11111111111111
659,171.11111111111111
660,171.11111111111111
661,171.11111111111111
662,171.11111111111111
663,171.11111111111111
664,171.11111111111111
665,171.11111111111111
666,171.11111111111111
667,171.11111111111111
668,171.11111111111111
669,171.11111111111111
670,171.11111111111111
671,171.11111111111111
672,171.11111111111111
673,171.11111111111111
674,171.11111111111111
675,171.11111111111111
676,171.11111111111111
677,171.11111111111111
678,171.11111111111111
679,171.11111111111111
680,171.11111111111111
681,171.11111111111111
682,171.11111111111111
683,171.11111111111111
684,171.11111111111111
685,171.11111111111111
686,171.11111111111111
687,171.11111111111111
688,171.11111111111111
689,171.11111111111111
690,171.11111111111111
691,171.11111111111111
692,171.11111111111111
693,171.11111111111111
694,171.11111111111111
695,171.11111111111111
696,171.11111111111111
697,171.11111111111111
698,171.11111111111111
699,171.11111111111111
700,171.11111111111111
701,171.11111111111111
702,171.11111111111111
703,171.11111111111111
704,171.11111111111111
705,171.11111111111111
706,171.11111111111111
707,171.11111111111111
708,171.11111111111111
709,171.11111111111111
710,171.11111111111111
711,171.11111111111111
712,171.11111111111111
713,171.11111111111111
714,171.11111111111111
715,171.11111111111111
716,171.11111111111111
717,171.11111111111111
718,171.11111111111111
719,171.11111111111111
720,171.11111111111111
721,171.11111111111111
722,171.11111111111111
723,171.11111111111111
724,171.11111111111111
725,171.11111111111111
726,171.11111111111111
727,171.11111111111111
728,171.11111111111111
729,171.11111111111111
730,171.11111111111111
731,171.11111111111111
732,171.11111111111111
733,171.11111111111111
734,171.11111111111111
735,171.11111111111111
736,171.11111111111111
737,171.11111111111111
738,171.11111111111111
739,171.11111111111111
740,171.11111111111111
741,171.11111111111111
742,171.11111111111111
743,171.11111111111111
744,171.11111111111111
745,171.11111111111111
746,171.11111111111111
747,171.11111111111111
748,171.11111111111111
